metric,configuration,n,finite_n,median,mean,std,ci95_low,ci95_high,divergence_count,median_runtime_s
control,G0M0S0,40,40,-25.243962774688633,-25.75118157561721,6.719250404564556,-33.19864461599014,-19.390763282831156,0,0.08302759999787668
control,G0M0S1,40,40,-25.244143411612196,-25.751178048613593,6.719028688909529,-33.19864589525652,-19.390768274662364,0,0.32323499999620253
control,G0M1S0,40,40,-25.285897104168065,-25.93381407510571,6.746801379488741,-33.19871722866759,-19.391240992842746,0,0.08414605000143638
control,G0M1S1,40,40,-25.285917397515334,-25.93370455857891,6.746614418905016,-33.19871724860051,-19.391241686153872,0,0.32571710000775056
control,G1M0S0,40,40,-25.2421861091715,-25.7511557546408,6.720351792763286,-33.1986490250133,-19.390780114436403,0,0.23848424999596318
control,G1M0S1,40,40,-25.24237893770863,-25.751181817450448,6.720096596021523,-33.1986502664696,-19.39078500982647,0,0.47730384999886155
control,G1M1S0,40,40,-25.285772916886465,-25.935461718038106,6.748205581727063,-33.19871728725307,-19.391242193172076,0,0.244716850000259
control,G1M1S1,40,40,-25.285794562197356,-25.935359976829567,6.7480198521176264,-33.19871730242369,-19.39124286947584,0,0.47665384999709204
hessian,G0M0S0,40,40,-33.19871800507691,-27.8544093787467,6.5106033792505045,-33.19871800507695,-25.290206813665332,0,0.08215070000005653
hessian,G0M0S1,40,40,-33.19871743094578,-27.854404044738054,6.510607136224555,-33.19871743097411,-25.290189243665434,0,0.3057572500038077
hessian,G0M1S0,40,40,-33.198718005076955,-27.85440937874672,6.5106033792505125,-33.19871800507697,-25.29020681366536,0,0.08328879999316996
hessian,G0M1S1,40,40,-33.198717558253556,-27.8544052304037,6.5106063009438575,-33.198717558253755,-25.290193150784063,0,0.3026923499928671
hessian,G1M0S0,40,40,-33.198718005076906,-28.68233117611124,6.30950451343837,-33.198718005076955,-25.29020681366535,0,0.2245178000011947
hessian,G1M0S1,40,40,-33.198717430973005,-28.484613728755914,6.288228799388084,-33.198717430982455,-25.290189244308742,0,0.44795765000162646
hessian,G1M1S0,40,40,-33.198718005076955,-28.089192908530453,6.226160316079108,-33.19871800507697,-25.29020681366536,0,0.2226308999961475
hessian,G1M1S1,40,40,-33.198717558253755,-28.44413769871888,6.098144608716856,-33.19871755825383,-25.290193150783914,0,0.45052145000954624
