configuration,n,finite_n,median,mean,std,ci95_low,ci95_high,divergence_count,median_runtime_s
G0M0S0,1,1,0.41596291478484737,0.41596291478484737,0.0,0.41596291478484737,0.41596291478484737,0,0.7453607999923406
G0M0S1,1,1,0.4194038032761964,0.4194038032761964,0.0,0.4194038032761964,0.4194038032761964,0,7.688067600000068
G0M1S0,1,1,0.42249060506197433,0.42249060506197433,0.0,0.42249060506197433,0.42249060506197433,0,0.7991945999965537
G0M1S1,1,1,0.4266837037333834,0.4266837037333834,0.0,0.4266837037333834,0.4266837037333834,0,7.97398450000037
G1M0S0,1,1,0.40776281524985225,0.40776281524985225,0.0,0.40776281524985225,0.40776281524985225,0,7.852577500001644
G1M0S1,1,1,0.37919399297883016,0.37919399297883016,0.0,0.37919399297883016,0.37919399297883016,0,15.220358999999007
G1M1S0,1,1,0.3862955959616885,0.3862955959616885,0.0,0.3862955959616885,0.3862955959616885,0,8.164693599988823
G1M1S1,1,1,0.39612670551391493,0.39612670551391493,0.0,0.39612670551391493,0.39612670551391493,0,15.528725199998007
adamw,1,1,0.8398240781002605,0.8398240781002605,0.0,0.8398240781002605,0.8398240781002605,0,0.28849150000314694
entropy_descent,1,1,0.6384338781654625,0.6384338781654625,0.0,0.6384338781654625,0.6384338781654625,0,0.6560162999958266
heavy_ball,1,1,0.7902209590949586,0.7902209590949586,0.0,0.7902209590949586,0.7902209590949586,0,0.2760621999914292
